CODE,ISOLATE_ID,ORIGINAL_SPECIES,REGION,SITE,ENVIRONMENT,SAMPLING_SOURCE,NATIONAL_SITE,LOCAL_SITE,REPLICATE,COLONY,ESBL,SOURCE_FILE,AM,AMC,AMI,AN,C,CF,CFA,CFO,CFT,CFV,CN,CPD,CPT,CTF,CTX,CZA,DO,ENR,FT,GEN,GM,IME,IPM,MAR,MRB,N,PRA,SXT,TE,SCORED_RESISTANCE,NUM_ANTIBIOTICS_TESTED,MAR_INDEX
EC_MAEWUR1C1,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,I,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,R,S,2,22,0.0909
EC_MAEWUR1C6,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR1C7,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,7.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR1C9,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,9.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR1C14,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,14.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR1C16,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,16.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR1C21,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,21.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR1C27,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,27.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,R,S,S,,S,,S,,S,S,S,S,R,2,22,0.0909
EC_MAEWUR1C28,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,28.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR1C29,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,1.0,29.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,R,I,S,,S,,S,,S,S,S,S,I,1,22,0.0455
EC_MAEWUR2C1,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,1.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,I,,S,S,I,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,R,S,2,22,0.0909
EC_MAEWUR2C2,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,2.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR2C5,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,5.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR2C6,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,6.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
EC_MAEWUR2C11,Klebsiella pneumoniae,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,11.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,R,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,1,22,0.0455
EC_MAEWUR2C16,Escherichia coli,,BARMM,APMC,Hospital,Effluent Water Untreated,Marawi,APMC,2.0,16.0,NEG,1NET_P2-AMR_BARMM Region - Copy - LOR-APMC.csv,S,S,,S,S,S,,S,S,,S,S,S,,S,S,S,S,S,,S,,S,,S,S,S,S,S,0,22,0.0000
