,PC1,PC2
AM,0.10581695521194853,0.16460535261062964
AMC,0.0640632928250992,0.4098110501362504
AN,0.006299078662960471,0.18433368978241216
C,0.2281017296500119,-0.1796344545870959
CF,0.14785709192736465,0.44985939548126025
CFO,0.2877264000476734,0.16877757799774998
CFT,0.30186477460196653,0.042621078000913484
CN,0.1907169570884684,0.39317847520868493
CPD,0.2980570334303841,0.09161415576934744
CPT,0.2775517683530261,0.04024241950828594
CTX,-0.0,-0.0
CZA,-0.0,-0.0
DO,0.24673574623555952,-0.2729252126873742
ENR,0.3537035549010077,-0.13399768200612094
FT,0.040719825350960796,0.2752950499267535
GM,0.047167258462926326,0.17941080167471588
IPM,0.10459741445746296,0.09533666010857271
MRB,0.26523683421068006,-0.015966495092957445
N,0.17291428922398833,-0.08220417490115248
PRA,0.2980530315798546,-0.05785834421399759
SXT,0.30760068239777005,-0.19372345056090545
TE,0.22383070186895934,-0.28989250488655893
