Component,Variance_Explained_%,Cumulative_%
PC1,23.526989729447095,23.526989729447095
PC2,16.39604983228909,39.92303956173618
PC3,11.568360237762802,51.491399799498986
PC4,9.744125820184562,61.23552561968355
PC5,7.023256350400664,68.25878197008421
PC6,4.802632569974702,73.06141454005892
PC7,4.431734783818196,77.49314932387712
PC8,3.483073234787099,80.97622255866422
PC9,3.2422803926317947,84.21850295129602
PC10,3.034810645513799,87.25331359680982
PC11,2.5429366694682853,89.7962502662781
PC12,2.389058092518238,92.18530835879633
PC13,2.0322028970759747,94.21751125587231
PC14,1.5264108114933865,95.74392206736569
PC15,1.3042868209985579,97.04820888836426
PC16,1.1046392428572973,98.15284813122155
PC17,0.7172183715918251,98.87006650281337
PC18,0.5724953963698898,99.44256189918326
PC19,0.49300422253913556,99.9355661217224
PC20,0.06443387827762362,100.00000000000003
PC21,4.7520192585886284e-17,100.00000000000003
PC22,0.0,100.00000000000003
