,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CODE,ISOLATE ID,LEVEL OF RESISTANCE ON TEST ANTIBIOTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored Resistance,No. of Antibiotic Tested,MAR INDEX
,,,,ESBL,AM,,AMC,,CPT,,CN,,CF,,CPD,,CTX,,CFO,,CFT,,CZA,,IPM,,AN,,GM,,N,,NAL,,ENR,,MRB,,PRA,,DO,,TE,,FT,,C,,SXT,,,,
,,,,,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,MIC,INT.,,,
,,EC_PRDWR1C1,Enterobacter cloacae complex,,,,4,*R,,,≤64,R,16,*R,0.5,S,,S,2,S,4,I,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,0.5,S,≤0.5,S,≤0.12,S,2,S,≤1,S,64,I,4,S,≤20,S,3,20,0.1500
,,EC_PRDWR1C6,Klebsiella pneumoniae ssp pneumoniae,NEG,16,*R,≤2,S,,S,≤4,S,≤2,S,≤0.25,S,,S,≤0.5,S,4,I,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,≤0.5,S,≤1,S,≤16,S,≤2,S,≤20,S,1,22,0.0455
,,EC_PRDWR1C9,Enterobacter cloacae complex,,,,8,*R,,,16,*R,32,R,0.5,S,,S,2,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,2,S,≤1,S,64,I,4,S,≤20,S,3,20,0.1500
,,EC_PRDWR2C6,Enterobacter cloacae complex,,,,4,*R,,,16,*R,32,R,0.5,S,,S,2,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,4,S,≤1,S,64,I,4,S,≤20,S,3,20,0.1500
,,EC_PRDWR3C3,Enterobacter cloacae complex,,,,8,*R,,,16,*R,16,*R,0.5,S,,S,2,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,2,S,≤1,S,64,I,4,S,≤20,S,3,20,0.1500
,,EC_PRDWR3C5,Enterobacter cloacae complex,,,,4,*R,,,8,*R,32,R,0.5,S,,S,2,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,2,S,≤1,S,32,S,4,S,≤20,S,3,20,0.1500
,,EC_PRDWR3C9,Enterobacter cloacae complex,,,,≥32,R,,,16,*R,32,R,0.5,S,,S,2,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,2,S,≤1,S,32,S,4,S,≤20,S,3,20,0.1500
,,EC_PRDWR3C10,Enterobacter cloacae complex,,,,16,*R,,,16,*R,32,R,0.5,S,,S,2,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,2,S,2,S,64,I,4,S,≤20,S,3,20,0.1500
,,EC_PRRWR1C2,Enterobacter cloacae complex,,,,4,*R,,,≥64,R,16,*R,0.5,S,,S,2,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,2,S,2,S,32,S,4,S,≤20,S,3,20,0.1500
,,EC_PRRWR1C5,Klebsiella pneumoniae ssp pneumoniae,NEG,≥32,R,≤2,S,,S,≤4,S,≤2,S,≤0.25,S,,S,1,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,16,I,,,1,I,1,S,0.5,I,≥16,R,≥16,R,32,S,≥64,R,≥320,R,5,22,0.2273
,,EC_PRRWR1C10,Klebsiella pneumoniae ssp pneumoniae,NEG,16,*R,≤2,S,,S,≤4,S,≤2,S,≤0.25,S,,S,1,S,2,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,1,S,≤1,S,32,S,4,S,≤20,S,1,22,0.0455
,,EC_PRRWR2C4,Klebsiella pneumoniae ssp pneumoniae,NEG,≥32,R,≤2,S,,S,≤4,S,≤2,S,≤0.25,S,,S,2,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,1,S,≤1,S,64,I,≤2,S,≤20,S,1,22,0.0455
,,EC_PRRWR2C9,Klebsiella pneumoniae ssp pneumoniae,NEG,16,*R,≤2,S,,S,≤4,S,≤2,S,≤0.25,S,,S,1,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,16,I,,,0.5,S,≤0.5,S,16,I,≥16,R,≥16,R,32,S,≥64,R,≥320,R,5,22,0.2273
,,EC_PRRWR3C1,Enterobacter cloacae complex,,,,4,*R,,,16,*R,16,*R,0.5,S,,S,1,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,2,S,≤1,S,32,S,4,S,≤20,S,3,20,0.1500
,,EC_PRRWR3C4,Enterobacter cloacae complex,,,,4,*R,,,≥64,R,16,*R,0.5,S,,S,1,S,4,I,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,1,S,≤1,S,32,S,4,S,≤20,S,3,20,0.1500
,,EC_PRRWR3C9,Escherichia coli,NEG,8,*R,4,S,,S,32,R,4,S,≤0.25,S,,S,1,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,1,S,≤1,S,≤16,S,8,S,≤20,S,2,22,0.0909
,,EC_PRFTR1C2,Escherichia coli,NEG,4,S,≤2,S,,S,8,S,16,I,≤0.25,S,,S,≤0.5,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,1,S,≤1,S,≤16,S,≤2,S,≤20,S,0,22,0.0000
,,EC_PRFTR1C10,Escherichia coli,NEG,8,S,4,S,,S,8,S,4,S,≤0.25,S,,S,1,S,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,1,S,≤1,S,≤16,S,8,S,≤20,S,0,22,0.0000
,,EC_PRFTR1C16,Enterobacter aerogenes,,,,≥32,R,,S,≥64,R,32,R,≤0.25,S,,S,4,I,≤1,S,,S,≤0.25,S,≤2,S,≤1,S,≤2,S,,,≤0.12,S,≤0.5,S,≤0.12,S,4,S,2,S,64,I,4,S,≤20,S,3,21,0.1429
